Year,Round,SeedDiff,Team1,Team2,Team1Wins
2017,4,12,South Carolina,Florida,1
2017,4,16,North Carolina,Kentucky,1
2017,3,19,Florida,Wisconsin,1
2017,3,11,South Carolina,Baylor,1
2017,3,18,Kansas,Purdue,1
2017,3,19,Oregon,Michigan,1
2017,3,18,Gonzaga,West Virginia,1
2017,3,6,Xavier,Arizona,1
2017,3,18,North Carolina,Butler,1
2017,3,16,Kentucky,UCLA,1
2017,2,8,Wisconsin,Villanova,1
2017,2,16,West Virginia,Notre Dame,1
2017,2,16,Florida,Virginia,1
2017,2,7,Xavier,Florida St.,1
2017,2,22,Gonzaga,Northwestern,1
2017,2,20,Arizona,St. Mary's (Cal.),1
2017,2,16,Purdue,Iowa St.,1
2017,2,23,Butler,Middle Tennessee St.,1
2017,2,10,Michigan,Louisville,1
2017,2,23,Kentucky,Wichita St.,1
2017,2,23,Kansas,Michigan St.,1
2017,2,22,North Carolina,Arkansas,1
2017,2,23,Oregon,Rhode Island,1
2017,2,23,Baylor,Southern California,1
2017,2,10,South Carolina,Duke,1
2017,2,18,UCLA,Cincinnati,1
2017,1,22,Notre Dame,Princeton,1
2017,1,24,West Virginia,Bucknell,1
2017,1,22,Virginia,UNC Wilmington,1
2017,1,24,Florida,East Tennessee St.,1
2017,1,30,Gonzaga,South Dakota St.,1
2017,1,16,Northwestern,Vanderbilt,1
2017,1,18,St. Mary's (Cal.),Virginia Commonwealth,1
2017,1,28,Arizona,North Dakota,1
2017,1,22,Iowa St.,Nevada,1
2017,1,24,Purdue,Vermont,1
2017,1,8,Middle Tennessee St.,Minnesota,1
2017,1,24,Butler,Winthrop,1
2017,1,30,Villanova,Mount St. Mary's,1
2017,1,16,Wisconsin,Virginia Tech,1
2017,1,10,Xavier,Maryland,1
2017,1,26,Florida St.,Florida Gulf Coast,1
2017,1,10,Southern California,Southern Methodist,1
2017,1,26,Baylor,New Mexico St.,1
2017,1,30,Kansas,UC Davis,1
2017,1,14,Michigan St.,Miami (Fla.),1
2017,1,18,South Carolina,Marquette,1
2017,1,28,Duke,Troy,1
2017,1,30,North Carolina,Texas Southern,1
2017,1,16,Arkansas,Seton Hall,1
2017,1,10,Rhode Island,Creighton,1
2017,1,26,Oregon,Iona,1
2017,1,20,Cincinnati,Kansas St.,1
2017,1,26,UCLA,Kent St.,1
2017,1,18,Michigan,Oklahoma St.,1
2017,1,28,Louisville,Jacksonville St.,1
